ZIP (character),State,Primary eGRID Subregion,Subregion annual CO2e output emission rate (lb/MWh),ZIP5,rate_lb_per_mwh,norm_factor_vs_us_mean
1,AK,AKMS,497.557,00001,497.557,0.601262809358082
2,AK,AKMS,497.557,00002,497.557,0.601262809358082
3,AK,AKMS,497.557,00003,497.557,0.601262809358082
4,AK,AKMS,497.557,00004,497.557,0.601262809358082
5,AK,AKMS,497.557,00005,497.557,0.601262809358082
6,AK,AKGD,1057.841,00006,1057.841,1.2783268078112915
7,AK,AKMS,497.557,00007,497.557,0.601262809358082
8,AK,AKMS,497.557,00008,497.557,0.601262809358082
9,AK,AKMS,497.557,00009,497.557,0.601262809358082
10,AK,AKMS,497.557,00010,497.557,0.601262809358082
11,AK,AKGD,1057.841,00011,1057.841,1.2783268078112915
12,CA,CAMX,499.278,00012,499.278,0.6033425174013921
13,HI,HIMS,1163.065,00013,1163.065,1.405482646945089
14,AZ,AZNM,779.382,00014,779.382,0.941828596287703
15,AZ,AZNM,779.382,00015,779.382,0.941828596287703
16,CA,CAMX,499.278,00016,499.278,0.6033425174013921
17,CA,CAMX,499.278,00017,499.278,0.6033425174013921
18,CA,CAMX,499.278,00018,499.278,0.6033425174013921
19,CA,CAMX,499.278,00019,499.278,0.6033425174013921
20,CA,CAMX,499.278,00020,499.278,0.6033425174013921
22,CA,CAMX,499.278,00022,499.278,0.6033425174013921
26,CA,CAMX,499.278,00026,499.278,0.6033425174013921
27,CO,RMPA,1131.733,00027,1131.733,1.3676201179427687
28,CA,CAMX,499.278,00028,499.278,0.6033425174013921
29,CA,CAMX,499.278,00029,499.278,0.6033425174013921
31,CA,CAMX,499.278,00031,499.278,0.6033425174013921
32,CA,CAMX,499.278,00032,499.278,0.6033425174013921
33,CA,CAMX,499.278,00033,499.278,0.6033425174013921
34,CA,NWPP,605.872,00034,605.872,0.732153905645785
35,CA,NWPP,605.872,00035,605.872,0.732153905645785
37,CA,CAMX,499.278,00037,499.278,0.6033425174013921
38,CA,CAMX,499.278,00038,499.278,0.6033425174013921
39,CA,CAMX,499.278,00039,499.278,0.6033425174013921
40,CA,CAMX,499.278,00040,499.278,0.6033425174013921
41,FL,FRCC,816.893,00041,816.893,0.9871580143078114
42,FL,FRCC,816.893,00042,816.893,0.9871580143078114
43,FL,FRCC,816.893,00043,816.893,0.9871580143078114
44,CA,CAMX,499.278,00044,499.278,0.6033425174013921
45,FL,FRCC,816.893,00045,816.893,0.9871580143078114
47,CA,CAMX,499.278,00047,499.278,0.6033425174013921
48,CA,CAMX,499.278,00048,499.278,0.6033425174013921
49,CA,NWPP,605.872,00049,605.872,0.732153905645785
50,CA,CAMX,499.278,00050,499.278,0.6033425174013921
51,CA,CAMX,499.278,00051,499.278,0.6033425174013921
52,CA,CAMX,499.278,00052,499.278,0.6033425174013921
53,FL,FRCC,816.893,00053,816.893,0.9871580143078114
54,CA,CAMX,499.278,00054,499.278,0.6033425174013921
55,CA,CAMX,499.278,00055,499.278,0.6033425174013921
56,ID,NWPP,605.872,00056,605.872,0.732153905645785
57,CA,CAMX,499.278,00057,499.278,0.6033425174013921
58,CA,CAMX,499.278,00058,499.278,0.6033425174013921
59,MN,MROW,943.418,00059,943.418,1.1400546210363496
60,MN,MROW,943.418,00060,943.418,1.1400546210363496
61,CA,CAMX,499.278,00061,499.278,0.6033425174013921
63,MT,NWPP,605.872,00063,605.872,0.732153905645785
64,NM,AZNM,779.382,00064,779.382,0.941828596287703
65,CA,CAMX,499.278,00065,499.278,0.6033425174013921
66,NM,AZNM,779.382,00066,779.382,0.941828596287703
